id,cve_ent,nom_ent,actividad,X,Y,
G124,24,San Luis Potosí,Gasolineras,-100.98242655498736,22.293217791246242,
G125,24,San Luis Potosí,Gasolineras,-100.92071788563744,22.156914270217822,
G126,24,San Luis Potosí,Gasolineras,-100.95186053053709,22.148799400627837,
G127,24,San Luis Potosí,Gasolineras,-100.94694792527389,22.14439379666965,
G128,24,San Luis Potosí,Gasolineras,-100.94423947003413,22.14235488341193,
G129,24,San Luis Potosí,Gasolineras,-100.95684701738774,22.14702271398888,
G130,24,San Luis Potosí,Gasolineras,-100.95047408910659,22.144101129960255,
G131,24,San Luis Potosí,Gasolineras,-100.95106,22.1438876197519,
G132,24,San Luis Potosí,Gasolineras,-100.949999,22.136968908840300,
G133,24,San Luis Potosí,Gasolineras,-100.95135,22.144787929472700,
G134,24,San Luis Potosí,Gasolineras,-100.94991135710524,22.14667234178854,
G135,24,San Luis Potosí,Gasolineras,-100.94642,22.144772472558200,
G136,24,San Luis Potosí,Gasolineras,-100.9344483,22.13541784212239,
G137,24,San Luis Potosí,Gasolineras,-100.93522,22.13413563,
G138,24,San Luis Potosí,Gasolineras,-100.93351,22.1352437302454,
G139,24,San Luis Potosí,Gasolineras,-100.93513,22.134751793990000,
G140,24,San Luis Potosí,Gasolineras,-100.93522,22.13406293256020,
G141,24,San Luis Potosí,Gasolineras,-100.92907130743653,22.133290185918224,
G142,24,San Luis Potosí,Gasolineras,-100.92469821146595,22.12890277,
G143,24,San Luis Potosí,Gasolineras,-100.9237137995959,22.12857387,
G144,24,San Luis Potosí,Gasolineras,-100.92067,22.123661095343100,
G145,24,San Luis Potosí,Gasolineras,-100.91974,22.122635013145300,
G146,24,San Luis Potosí,Gasolineras,-100.91785,22.125219123785700,
G147,24,San Luis Potosí,Gasolineras,-100.91625,22.124861246296700,
G148,24,San Luis Potosí,Gasolineras,-100.91622,22.124787375546800,
G149,24,San Luis Potosí,Gasolineras,-100.91126,22.12128119,
G150,24,San Luis Potosí,Gasolineras,-100.87941870549525,22.08718599,
G151,24,San Luis Potosí,Gasolineras,-100.88024,22.086565752309800,
G152,24,San Luis Potosí,Gasolineras,-100.85861,22.04280495,
